device_id,device_name,battery_token,battery_sn,device_brand
2889aa388e6ee97b6cc9ce24ff041080,battery_0,6d15f8a013480ba5b3a6c0086d9e2f,94429,SONNEN_BATTERY
8f692ff3f9519b9dc15e760962be76,battery_1,d117d2412c4d0cb2724b3e30b8f823,46727,SONNEN_BATTERY
5620636b927bef451efb3421aaf751ec,battery_2,17d1c69b0745ac9bcfbac4a6b67148,74817,SONNEN_BATTERY
72f325e06b1b60211bfcb6f2b530a2d,battery_3,d79649594a409a984673d4f355b14a,49607,SONNEN_BATTERY
3bd3c653deee0956613cb09229e5e52a,battery_4,b6366b93cd44509dfc1b8f871fd6b0,92441,SONNEN_BATTERY
6f3c8f85a30e642656a9442b2d7093b7,battery_5,ca447c07fe43be8241de560fac27d9,44753,SONNEN_BATTERY
4be8ca5eebbedb5c451200f582453247,battery_6,806eb377a4433ab41f51f8941d66e8,17691,SONNEN_BATTERY
3a76db804e0dc7144342aaea0420ac03,battery_7,b1cfb8d8a14c73b5c74c6c895cab72,64056,SONNEN_BATTERY
405a79d39f7068b07b9357bb13929d6a,battery_8,17eea4f04146f88d61f05474cd5091,95234,SONNEN_BATTERY
320d141048c23741139cc30262369a86,battery_9,b4f1d7988342fab778d414247b8ce4,12655,SONNEN_BATTERY
bee47a9935776f7993c5b81e67441b,battery_10,f23e0198bc46ccb793c1a189962dd0,39039,SONNEN_BATTERY
48803622a2417b5716b2e6f3303c79b2,battery_11,119deb4f0942fc80106195f5d3ad6d,42379,SONNEN_BATTERY
27584ac5072e22323df63245a29b9683,battery_12,890272f94b4feea491e02ebae8cc32,92869,SONNEN_BATTERY
6d2cc950a67bd6f5fdbe189e59997a5,battery_13,447c230a4743e285540054c59d3bb4,27869,SONNEN_BATTERY
35c8034bfc82e89c27394ab1d0b1a13c,battery_14,584d20ca764f4b8f1c8c5376f45de2,59126,SONNEN_BATTERY
